id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
257869,House w/ Pool in Cultural District/close2downtown,1356081,Shayna,,,32.74186,-97.37857,Entire home/apt,,31,377,2024-11-10,2.26,1,0,8,
299748,Rosy's Guest House,1544441,Kimberly,,District 9,32.71696,-97.3417,Entire home/apt,,28,361,2025-08-10,2.17,1,0,9,
912371,Stay in Ft.Worth Cultural District,4895584,V R,,District 7,32.73643,-97.38305,Entire home/apt,58,30,323,2025-07-31,2.11,1,58,3,
1885626,Private bedroom in spacious home,7892516,Tibor,,,33.02235,-97.30032,Private room,54,1,98,2025-08-25,0.69,1,79,11,
2130492,"Charming ""attic room"" by TCU campus",826752,Lee,,District 3,32.71192,-97.36889,Private room,100,30,41,2023-06-19,0.31,2,179,0,
2130602,Charming room by TCU/Colonial Golf,826752,Lee,,,32.7133,-97.36832,Private room,100,30,96,2023-11-12,0.69,2,364,0,
2243630,Studio Unit - Walkable Area -  Near Magnolia Ave,9951593,Daniel,,,32.72627,-97.33481,Entire home/apt,76,29,70,2024-09-02,0.70,2,199,0,
2406981,Cozy 2 BD with parking included,1625895,Lynette,,District 5,32.74541,-97.17938,Entire home/apt,128,2,176,2025-09-15,1.31,1,294,36,
3434277,1920's Stone House 1,17308665,Cameron Dean,,District 7,32.7537,-97.36713,Entire home/apt,92,30,264,2025-07-29,1.94,3,345,1,
3441552,The pool house - Minutes from W7th/TCU/Stockyards,17343834,Mark,,,32.729,-97.42868,Entire home/apt,270,3,196,2025-08-28,1.44,1,325,5,
3570004,"4 Min from Downtown, Off Magnolia Queen Bed Suite",2729065,Ayesha,,District 9,32.72587,-97.33685,Private room,81,30,41,2024-07-21,0.38,4,180,0,
3601908,Victorian Charm steps from Magnolia,18147643,Veronica,,District 9,32.72911,-97.3414,Entire home/apt,68,2,298,2025-09-09,2.22,1,149,25,
3840412,"Upstairs 2 Bdrm w/AdjoiningBath ""Jack n Jill"" Type",1221040,Kay,,,32.9172757,-97.339091,Private room,57,30,1,2025-08-31,1,2,164,1,
4499396,Charming 1930's Parkside Apartment,23336420,Dan,,District 9,32.70607,-97.333,Entire home/apt,,3,303,2025-06-30,2.29,2,9,5,
5218354,The Magnolia Guesthouse,22327817,Gwendyllyn,,,32.72697,-97.33569,Entire home/apt,58,30,335,2025-03-31,2.59,1,353,1,
5548494,7 Min to DFW Airport 2 min to AA HQ,28766338,Franklin,,,32.82475,-97.07258,Private room,38,1,41,2025-01-14,0.43,1,318,7,
5705719,Cozy 1930's Parkside Apartment,23336420,Dan,,District 9,32.70553,-97.33277,Entire home/apt,,30,266,2025-03-04,2.09,2,0,2,
6880464,Stockyards Artist Retreat & Indoor Cactus Hammock,23385641,Arnoldo,,District 2,32.79702847747591,-97.3756154018349,Entire home/apt,111,2,307,2025-08-24,2.51,1,335,23,
6992282,Comfortable Home in quiet neighborhood.,25915744,Amanda & Melissa,,,32.87511,-97.28471,Private room,43,1,62,2021-11-15,0.52,1,75,0,
7038625,"1 Near DFW airport, Six Flags, and AT&T Stadium",36906228,Hector,,,32.81934,-97.09155,Private room,69,28,215,2025-08-17,2.12,2,319,1,
7202876,LONGHORN GETAWAY private guest house,21896341,Christine,,,32.72412,-97.33547,Entire home/apt,122,1,347,2025-08-30,6.40,2,307,71,
7255032,1920's Bungalow walkable to Downtown Fort Worth,22620639,Diana,,District 9,32.76633,-97.32741,Entire home/apt,135,30,140,2024-01-22,1.35,3,333,0,
7310033,1920s Stone House 2,17308665,Cameron Dean,,,32.75343,-97.36581,Entire home/apt,85,30,164,2024-12-30,1.33,3,362,1,
7565571,Nightly Downtown Apartment Queen bed sleeps 2 max.,39666462,Michael,,,32.7527,-97.34016,Entire home/apt,65,2,13,2025-03-24,0.16,2,16,2,
7620663,Newly Renovated w/in 1.9 miles of Dickies Arena,26198981,Terry,,,32.73871,-97.38953,Entire home/apt,91,30,228,2025-05-28,1.86,2,256,8,
