id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
40669,Skyy’s Lounge / Cozyaezz so,175412,Skyy,,Ward C (councilmember Richard Boggiano),40.73724,-74.0531,Private room,150,28,22,2024-11-01,0.12,1,91,2,Exempt
72548,"Stylish Retreat with Garden, Deck & Private Entry",190600,Susan And Ivan,,Ward F (councilmember Jermaine D. Robinson),40.71411,-74.06534,Entire home/apt,164,3,88,2025-09-14,0.50,1,276,3,STR-002247-2025
215768,Minutes to Manhattan & Jersey Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71438,-74.0581,Entire home/apt,190,4,215,2025-09-17,1.26,2,313,22,STR-006450-2024
254245,Minutes to Manhattan and NJ Shore,846837,Charlaine,,Ward F (councilmember Jermaine D. Robinson),40.71162,-74.06179,Entire home/apt,172,4,160,2025-08-31,0.95,2,128,17,STR-006336-2024
269266,Modern private 2 bedrooms apt minutes to NYC,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.71135,-74.06374,Entire home/apt,141,2,490,2025-08-29,2.91,11,302,42,STR-001785-2025
270245,Private room with own bathroom close to NYC,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.7134,-74.06489,Private room,65,3,351,2025-09-04,2.09,11,291,28,STR-001785-2025
271255,Large Room with private bathroom min to Manhattan,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.71161,-74.06327,Private room,85,2,410,2025-09-03,2.50,11,261,27,STR-001786-2025
675483,Room & Private Bath~Minutes to NYC!,2259684,Leigh,,Ward E (councilmember James Solomon),40.72315,-74.04179,Private room,150,3,441,2025-09-14,2.78,1,188,32,STR-006162-2024
810860,Spacious Studio minutes away from NYC,3530754,Laura,,Ward C (councilmember Richard Boggiano),40.72617,-74.06481,Entire home/apt,100,28,10,2025-07-31,0.13,1,175,3,
818075,Lovely Apartment - Easy access to NYC,4296829,Harriet,,Ward C (councilmember Richard Boggiano),40.74086,-74.04921,Entire home/apt,117,3,228,2025-09-18,1.48,1,51,33,STR-005916-2024
938292,New apt in downtown JC minutes away from Manhattan,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72371,-74.04931,Entire home/apt,108,29,24,2025-09-17,0.22,3,266,3,
946048,Newly renovated small studio.  1 Month or more,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72398,-74.05023,Entire home/apt,75,29,27,2025-08-13,0.25,3,88,4,
971427,Nice Apt -10 minutes to Manhattan,4318265,Robert,,Ward E (councilmember James Solomon),40.71839,-74.04522,Entire home/apt,159,5,378,2025-09-03,2.48,2,118,36,str-006261-2024
1276863,Luxury Waterfront Apartment,6949940,Beata,,Ward E (councilmember James Solomon),40.7136,-74.03538,Entire home/apt,,60,145,2019-09-13,0.97,1,276,0,
1280528,Fantastic room with private bathroom close NYC!,1410590,Magdalena,,Ward F (councilmember Jermaine D. Robinson),40.7129,-74.06473,Private room,82,2,330,2025-08-31,2.21,11,301,20,STR-001786-2025
2149271,"DWTN Jersey City Art Studio Apt, long term stays",10969148,Colby,,Ward E (councilmember James Solomon),40.72508,-74.0512,Entire home/apt,149,28,30,2023-11-08,0.28,1,358,0,
2168009,2B/2Ba Maximalist Apt Close 2NYC,11061879,Anatalie,,Ward D (councilmember Michael Yun),40.74822,-74.04853,Entire home/apt,175,28,26,2025-05-19,1.09,1,364,10,
2176306,"Dr Norton House@Lincoln Park JC,NJ",11099485,Stephen,,Ward B (councilmember Mira Prinz-Arey),40.72146,-74.07424,Entire home/apt,155,3,273,2025-09-21,1.95,1,248,35,STR-2024-03201
2662979,Room with private bathroom min to Manhattan,1410590,Magdalena,,Ward E (councilmember James Solomon),40.72469,-74.0497,Private room,56,28,374,2025-08-30,2.68,11,324,2,
2663502,Big room with private bathroom close to Manhatta,1410590,Magdalena,,Ward E (councilmember James Solomon),40.72557,-74.05028,Private room,54,29,387,2024-08-11,2.78,11,329,0,
2879634,Cute private apt Jersey City (NYC area no smoking),14717157,Dana,,Ward F (councilmember Jermaine D. Robinson),40.71159,-74.06034,Entire home/apt,88,3,347,2025-09-19,2.75,1,75,30,STR-005685-2024
3193538,Lrg Garden Studio w/Yard Min 30 Night Corp Rental,16186604,Edward,,Ward E (councilmember James Solomon),40.71549,-74.03976,Entire home/apt,113,30,221,2025-08-20,1.82,1,275,4,
3487433,Waterfront Loft - 7 mins to NYC!,16038,Felicia,,Ward E (councilmember James Solomon),40.71653,-74.039,Entire home/apt,338,28,9,2018-08-13,0.07,1,358,0,
3655301,Brownstone 3rd Foor,18494549,Manuel,,Ward F (councilmember Jermaine D. Robinson),40.71948,-74.06778,Entire home/apt,107,29,403,2025-08-23,2.96,2,354,2,
3674016,Downtown loft - steps to NYC! Downtown Jersey City,318287,Cindy,,Ward E (councilmember James Solomon),40.72728,-74.0408,Entire home/apt,,29,164,2024-01-01,1.21,3,0,0,
4007369,Charming Home (3bd/2ba)(6-8ppl),19341950,Roosevelt,,Ward B (councilmember Mira Prinz-Arey),40.71624,-74.07984,Entire home/apt,141,28,299,2025-09-09,2.27,1,61,14,
4531787,Studio at heart of Downtown JC.,1450378,Alfredo,,Ward E (councilmember James Solomon),40.72277,-74.04957,Entire home/apt,80,29,32,2025-08-11,0.27,3,330,4,
4582869,Historic Downtown Jersey City (Legal),15356305,Jennifer,,Ward E (councilmember James Solomon),40.72459,-74.04352,Entire home/apt,174,2,308,2025-08-29,2.33,1,209,32,STR-004325-2024
5697589,Big modern room 5 min walk to Path/WIFI/TV/Desk,6958867,Gennadiy,,Ward E (councilmember James Solomon),40.72216,-74.05052,Private room,71,7,98,2025-03-26,0.77,35,102,1,Exempt
5706875,Big room in Luxury House min to PATH NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72251,-74.04838,Private room,71,28,76,2025-09-13,0.60,30,14,5,Exempt
5758802,Huge Modern room Downtown Jersey City/WIFI,6958867,Gennadiy,,Ward E (councilmember James Solomon),40.72368,-74.04911,Private room,58,28,123,2025-08-02,0.98,35,117,2,
5759911,Modern Clean room 5 min to PATH min to NYc WIFI TV,1410306,Eugene,,Ward E (councilmember James Solomon),40.72343,-74.04992,Private room,68,29,93,2025-06-28,0.73,30,31,3,Exempt
