id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6422,Nashville Charm,12172,Michele,,District 6,36.17143,-86.7357,Private room,43,30,667,2020-03-03,3.34,1,175,0,
39870,Close to Vanderbilt 2,171184,Evelyn,,District 25,36.12466,-86.81269,Private room,70,1,587,2025-09-17,5.34,1,242,80,
72906,Vandy/Belmont/10 mins to Broadway - Sunny 800 sqft,176117,Richard,,District 18,36.13122,-86.80066,Entire home/apt,91,2,777,2025-09-21,4.46,1,234,34,
258817,"ButterflyRoom-queen room, private bath",22296,Diana,,District 12,36.16076,-86.59151,Private room,34,30,97,2023-12-27,0.58,8,364,0,
289242,"MorningstarHouse, monthly room-",22296,Diana,,District 12,36.16296,-86.59113,Private room,33,30,76,2019-01-12,0.45,8,365,0,
319705,"SuperSweetSTUDIO, jacuzzi, private entrance",22296,Diana,,District 12,36.16236,-86.59005,Private room,45,30,49,2024-02-02,0.30,8,365,0,
329997,A+ Carriage House & Courtyard! 5 mins to Downtown,1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,103,2,1519,2025-09-09,9.18,5,131,93,
340081,Affordable room in 4 bedroom house.,22296,Diana,,District 12,36.16122,-86.59007,Private room,33,30,82,2024-07-03,0.50,8,365,0,
395889,Contemporary-Mod Paradise w/ Private Bathroom,1547584,Kurt,,District 6,36.16466816415104,-86.75053983588492,Private room,84,1,380,2025-09-21,2.35,1,328,34,
430052,"Private Vaulted Studio! King,WetBar,Bath/5 min DT!",1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,94,2,1134,2025-09-02,7.01,5,42,69,
431258,"5 MIN TO DT! 2 Bdrm, 2.5 Baths, Hot tub courtyard!",1684051,Rick,,District 19,36.1758,-86.7995,Entire home/apt,216,2,549,2025-08-17,3.38,5,314,15,
501570,French Flair :The Loire room,2427763,Dody &Rodney,,District 6,36.18982,-86.74399,Private room,95,1,282,2025-08-31,1.74,2,169,17,
513664,Cozy and Convenient in Donelson!,2530554,Lori,,District 14,36.15606,-86.64991,Private room,,2,27,2015-06-29,0.18,1,0,0,
632636,Admire Skyline from the Rooftop Terrace Chic Suite,1684051,Rick,,District 19,36.1723,-86.7925,Entire home/apt,186,2,459,2025-09-01,2.87,5,38,16,
645985,Serenity Haven,1515903,Karen,,District 6,36.18523,-86.71385,Private room,32,30,61,2025-08-23,0.39,3,222,3,
648088,Heart of Music Row Studio Apt. Midtown Nashville,3250769,Robyn,,District 19,36.1447,-86.79014,Private room,114,30,444,2023-10-30,2.80,1,88,0,
674159,"A Clean, Quiet Suite in a Great Neighborhood",3422455,John,,District 6,36.17393,-86.73894,Entire home/apt,128,3,346,2025-06-08,2.23,2,253,8,
681880,Luxurious Cozy Guesthouse,3471162,Tiffany,,District 7,36.21536,-86.71024,Entire home/apt,87,1,866,2025-09-14,5.49,1,148,95,
859206,Private Entrance Suite Vandy/Belmnt,1924504,Anne,,District 18,36.12999,-86.79959,Private room,,2,132,2025-06-09,0.86,1,0,2,
914787,"Walk to Downtown Broadway Pool, Free Parking, Gym",4910520,Amy,,District 19,36.17539978,-86.7818985,Entire home/apt,179,1,471,2025-09-15,3.09,15,335,42,
1006989,Private Carriage House,1896384,John,,District 6,36.17502,-86.73475,Entire home/apt,88,2,661,2025-09-22,4.35,1,62,43,
1009550,The Fab GuesT QuarTers Suite,5554006,Jacque,,District 7,36.21239,-86.70439,Entire home/apt,130,3,293,2025-06-23,1.93,1,56,16,201513025
1039298,Hotel-quality Two-bedroom Suite,5721539,Alyce,,District 7,36.22625,-86.72121,Entire home/apt,,2,85,2025-05-24,0.82,1,0,4,
1300670,Valentino's Retreat,119023,Dana,,District 10,36.32249,-86.72652,Entire home/apt,151,2,164,2025-07-13,1.10,1,248,7,
1546787,Cozy Guest House in Vibrant 12 South,6855810,UrbanNashville,,District 18,36.12991714477539,-86.79246520996094,Entire home/apt,76,2,564,2025-09-14,3.99,115,141,37,2019073053
1557535,Ultimate girls or guys weekend! Close to downtown!,8291189,John,,District 7,36.22621,-86.7103,Entire home/apt,411,3,107,2025-06-29,0.74,1,317,15,
1583339,"Heart of Historic East Nashville, Walk Everywhere!",1567001,Amy,,District 6,36.17833,-86.74426,Entire home/apt,,2,80,2024-10-20,0.55,4,318,1,
1583557,Entire Upstairs-2 Bedroom Private/Owner downstairs,1567001,Amy,,District 6,36.17833,-86.74426,Private room,119,2,128,2025-05-31,0.88,4,341,6,
1587240,Charismatic room in East Nashville,1567001,Amy,,District 6,36.17868,-86.74394,Private room,,30,133,2021-07-22,0.91,4,0,0,
1661560,"Unique, tucked away, retro, dreamy porch w/ view",8804227,Kelli Katrice,,District 6,36.17622,-86.73512,Entire home/apt,158,1,133,2024-11-25,0.92,1,239,1,
1714215,"TRAVELERS PL  Blue Room 
Female, NS Only plz",812128,Patricia And John,,District 12,36.18747,-86.59145,Private room,35,30,16,2023-07-03,0.13,9,179,0,
1840652,A Downtown Great GetAway!,2066370,Lisa,,District 21,36.176631927490234,-86.80799102783203,Entire home/apt,390,1,203,2025-08-17,1.41,1,251,10,
1951714,Cheap Vandy / Downtown Nashville CrashPad,7720839,Michelle,,District 17,36.14549,-86.78686,Shared room,500,1,6,2017-06-18,0.04,1,90,0,
1954040,Vintage style Eastside bungalow,8196681,Anita,,District 7,36.20338,-86.7296,Private room,60,1,542,2025-09-18,3.80,1,291,69,
2083878,"3min to DWTN!/2 bds, 1.5bths/Private Suite",10643952,Khira,,District 19,36.17069,-86.79121,Entire home/apt,106,1,738,2025-09-08,5.17,2,264,53,
2138177,Rustic Designer Suite near City Center,6521193,William Terry,,District 6,36.16107,-86.75256,Entire home/apt,127,2,505,2025-09-21,3.57,1,191,25,
2181743,Take It Easy at an Urban Cottage in East Nashville/near Dt,7073590,Brigitte,,District 6,36.17035,-86.74017,Entire home/apt,144,1,716,2025-09-15,5.19,20,328,50,
2261942,Charming Room in Hip East Nashville,11550460,James,,District 5,36.18269,-86.75301,Private room,86,2,833,2025-09-19,5.99,1,310,68,
2316288,"2.5 Miles From DT, 2 Spaces",7428690,Matt & Steph,,District 6,36.185993,-86.741821,Entire home/apt,126,2,368,2025-08-31,2.96,3,342,21,
2372334,Charismatic room in East Nashville,1567001,Amy,,District 6,36.17833,-86.74426,Private room,64,30,49,2021-01-02,0.35,4,210,0,
2396505,Luxe Comfort in an Artistic & Historic Home,12098481,Bryan,,District 18,36.13541,-86.812656,Entire home/apt,578,3,94,2025-06-22,0.68,1,263,5,
2473234,Room At Eastland - Your totally private space!,12649085,Valerie,,District 6,36.18034,-86.72588,Entire home/apt,65,4,194,2025-09-16,1.39,1,310,18,
2479230,2BR/1BA Long-Term FURNISHED Rental by Vandy,2800334,Kristin,,District 19,36.14377,-86.79486,Entire home/apt,,30,101,2024-06-01,0.73,2,365,0,
2521338,beautiful affordable space * ladies only * NS,812128,Patricia And John,,District 12,36.18934,-86.59118,Private room,30,31,3,2016-08-10,0.02,9,269,0,
2581896,"Live Like a Local in E. Nashville, 290 5* Reviews",13221453,Christy,,District 6,36.16922,-86.74108,Entire home/apt,102,1,292,2025-06-23,2.09,3,183,13,201512821
2590492,Purple Moon River House  Monthly Rentals Only,13262394,Dorothea,,District 15,36.24254,-86.70525,Entire home/apt,,30,21,2018-07-30,0.15,1,365,0,
2666769,Cottage at West End/Vandy/Hillsboro,457460890,Chloe,,District 21,36.14705,-86.81845,Entire home/apt,105,1,835,2025-09-13,6.20,8,144,53,
