id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22772,Stay-Awhile  at Lovers Pt. Pacific Grv,87827,Amie,,Pacific Grove,36.62202,-121.91775,Entire home/apt,279,30,62,2016-07-24,0.33,1,83,0,
41014,Ocean front 6-bedroom masterpiece,174738,Kirstie,,Pacific Grove,36.63096,-121.93652,Entire home/apt,1425,5,122,2025-09-02,0.70,1,156,3,
44515,Pet-Friendly* Cottage Near Beach for 30+ day stays,195732,Blake,,Pacific Grove,36.62475,-121.93491,Entire home/apt,201,30,971,2025-08-31,5.28,2,238,6,
89210,"CA Dreaming w/Ocean View, Fire pit and Gardens",130577,Sarah,,Pacific Grove,36.60421,-121.92524,Entire home/apt,175,1,1339,2025-09-12,7.61,1,106,83,
129723,Modern Victorian with ocean view (1 month minimum),639623,Birgit,,Pacific Grove,36.62008,-121.90993,Entire home/apt,128,30,17,2024-10-16,0.13,2,130,1,
1031734,Ocean View Designer Home,227482,Dan,,Pacific Grove,36.60368,-121.92721,Entire home/apt,750,30,237,2024-07-30,1.57,1,365,0,
1721186,Beautiful Villa With Ocean View,9073236,Barb,,Pacific Grove,36.62468,-121.91711,Entire home/apt,328,1,491,2025-09-14,3.39,1,339,46,
2372344,"Available for August,Bay View, Walk to Cannery Row",12118997,Guita,,Pacific Grove,36.6154,-121.90866,Entire home/apt,275,7,80,2025-08-18,0.57,2,359,1,
3029273,Modern Beach House,15429359,James,,Pacific Grove,36.6333,-121.92406,Private room,207,2,707,2025-09-22,5.23,2,179,55,
3821616,"Bright Beach Cottage, Center of town, 30-day",16838120,Alka,,Pacific Grove,36.62262,-121.91895,Entire home/apt,135,30,466,2025-09-16,3.46,1,303,6,
3836973,Lovely House in Pacific Grove (Long term rental),19763195,Paul,,Pacific Grove,36.60589,-121.92924,Entire home/apt,265,30,477,2023-11-05,3.52,1,342,0,
4099680,The Monarch Home - Cozy & Relaxing,5508442,Anne,,Pacific Grove,36.62322,-121.92883,Entire home/apt,130,30,463,2025-04-29,3.50,1,250,1,
