id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23163,Residence Karolina - KAROL12,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,,1,31,2024-06-15,0.17,75,0,0,
23169,Residence Masna - Masna302,5282,Klara,,Praha 1,50.0883,14.42272,Entire home/apt,,1,124,2025-06-25,0.66,75,14,3,
26755,Central Prague Old Town Top Floor,113902,Daniel+Bea,,Praha 1,50.08729,14.43179,Entire home/apt,2272,3,440,2025-09-06,3.49,3,142,54,
30762,Residence Rybna - Rybna23,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,17,2025-05-06,0.10,75,25,1,
42514,"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",185641,Victoria,,Praha 1,50.08228,14.41345,Entire home/apt,2885,7,333,2023-04-30,1.81,1,362,0,
52148,Colorful 2BDR Family Apartment,227945,Alex And Kate,,Praha 2,50.0709,14.43157,Entire home/apt,2497,1,291,2025-09-06,1.61,95,121,33,
55856,Renovated Apartment behind National Museum,227945,Alex And Kate,,Praha 2,50.07724,14.43383,Entire home/apt,2055,2,431,2025-09-23,2.37,95,125,48,
75298,Prague  Studio  Old  Town,398991,Emanuele,,Praha 1,50.092285,14.4329,Entire home/apt,1571,3,37,2024-09-30,0.33,2,320,1,
79373,Residence Masna - Masna201,5282,Klara,,Praha 1,50.08844,14.42424,Entire home/apt,,1,54,2025-06-09,0.31,75,15,2,
79381,Residence Masna - Masna504,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,,1,19,2024-07-06,0.11,75,0,0,
79387,Residence Masna - Masna203,5282,Klara,,Praha 1,50.08943,14.42373,Entire home/apt,,1,35,2025-05-30,0.20,75,0,5,
79711,Ostrovni 7 Apartments,5282,Klara,,Praha 1,50.08051,14.41487,Entire home/apt,,1,20,2024-02-25,0.13,75,0,0,
83067,Old Town Apartment Charles Bridge 3,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,2961,3,287,2025-09-09,1.65,14,57,41,
83855,Old Town Apartment Charles Bridge 4,315332,Lubos & Marta,,Praha 1,50.08409,14.41352,Entire home/apt,3197,3,317,2025-08-20,1.96,14,44,41,
83856,Charles Bridge Old Town Apartment 5,315332,Lubos & Marta,,Praha 1,50.08385,14.41463,Entire home/apt,3325,3,464,2025-09-06,2.64,14,59,43,
85790,Grande apartment 43 with River View,383698,Veronika,,Praha 1,50.07744,14.4141,Entire home/apt,3862,1,166,2025-08-13,0.97,39,307,25,
98852,In the heart of historic Prague!!,517329,Terezie,,Praha 1,50.08588,14.42145,Entire home/apt,2326,2,680,2025-09-22,3.87,1,287,43,
106207,Welcome To The Jungle Studio By Ruterra,227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1466,2,382,2025-08-30,2.21,95,1,48,
109549,Prague Old Town apartment - 2 bdr,565267,Taťjana,,Praha 1,50.09104,14.42533,Entire home/apt,2365,15,178,2025-06-28,1.03,1,356,5,
111141,"Blue Ruterra ""Stay Like a Local"" Studio",227945,Alex And Kate,,Praha 3,50.08655,14.4512,Entire home/apt,1425,2,277,2025-08-31,1.61,95,128,26,
112281,Gorgeous Rose 2BDR Ruterra Suite,227945,Alex And Kate,,Praha 1,50.08005,14.42756,Entire home/apt,2629,2,282,2025-08-10,1.65,95,125,22,
117451,Charming Loft with a Great Terrace!,546587,Kristina,,Praha 5,50.06625,14.40245,Entire home/apt,2179,1,370,2025-08-24,2.21,2,311,32,
146690,"*Spacious,2bdrooms,central,quiet*",589265,Jan,,Praha 3,50.08529,14.44532,Entire home/apt,1719,7,433,2025-09-08,2.50,2,149,26,
167878,Lovely riverview flat with a balcony and a marina,800205,Peter,,Praha 8,50.10546,14.4707,Entire home/apt,4606,10,0,,,1,88,0,
173114,Old Town Square Quiet Chic Apartment,826315,Idan & Marta,,Praha 1,50.091067734318685,14.423598800541122,Entire home/apt,2018,3,458,2025-09-09,2.66,3,311,45,
176243,3BR Old Town Square Apartment 130m2,838198,Michael,,Praha 1,50.08827218384488,14.423229476115441,Entire home/apt,4288,4,483,2025-09-03,2.90,26,241,36,
181641,Krizovnicka apt - Charles Bridge,870664,Jan,,Praha 1,50.08685,14.41432,Entire home/apt,1213,2,184,2020-01-26,1.11,7,32,0,
181951,Opletalova Comfortable Apartment,870664,Jan,,Praha 1,50.08267,14.42895,Entire home/apt,1129,2,146,2025-08-06,0.86,7,66,1,
182072,CITY CENTRE Polska Spacious 2-Bdr Apartment,870664,Jan,,Praha 3,50.0795,14.44812,Entire home/apt,1746,2,35,2024-07-08,0.20,7,84,0,
182772,Charles Bridge Wiew Old Town 1 BR Apartment,315332,Lubos & Marta,,Praha 1,50.08519,14.4146,Entire home/apt,3335,3,272,2025-09-07,1.58,14,22,52,
186750,Studio 1 - Family/friendly flat close to center,783726,Mathieu,,Praha 3,50.08499,14.45316,Entire home/apt,1557,3,671,2025-09-21,4.20,3,69,79,
201908,Nova - only 10min to Charles Bridge,955586,Eric,,Praha 5,50.08033,14.40353,Entire home/apt,,1,54,2025-09-20,0.32,7,0,8,
202545,Milena- 4 Br 2 Ba 3 Wc - 10min from Charles Bridge,955586,Eric,,Praha 5,50.07912,14.40417,Entire home/apt,4094,1,59,2025-08-16,0.35,7,66,8,
207373,Stunning River View apartment ★★★★★,383698,Veronika,,Praha 2,50.07685,14.4158,Entire home/apt,4548,1,303,2025-08-31,1.86,39,317,32,
208007,Tasteful apartment with River View - 62,383698,Veronika,,Praha 1,50.07687,14.41414,Entire home/apt,3824,1,161,2025-06-25,0.96,39,340,6,
209774,Fantastic central Prague 3 Bedroom for 12- PC A21,383698,Veronika,,Praha 1,50.07923186310829,14.419146421482571,Entire home/apt,,1,97,2025-08-24,0.58,39,337,14,
224386,Elegant Prague Central Exclusive flat - 13 3B,383698,Veronika,,Praha 1,50.09146,14.41863,Entire home/apt,4548,1,195,2025-08-25,1.27,39,336,21,
224457,Prague Praha Centre Charles Bridge,1167278,Jane And George,,Praha 1,50.088111877441406,14.409708976745605,Entire home/apt,2581,2,282,2025-09-01,1.65,1,55,5,
247267,Apartment Central Prague Old Town Self check-in,113902,Daniel+Bea,,Praha 1,50.08704,14.43397,Entire home/apt,1823,3,543,2025-06-15,3.21,3,57,32,
254484,QUIET MIRACULOUS APARTMENT in PRG 1,1336827,Hana,,Praha 1,50.086,14.40397,Entire home/apt,1721,1,276,2025-09-19,1.65,2,293,16,
278550,Spacious 3 bedroom flat in Prague Central,383698,Veronika,,Praha 1,50.08102,14.41932,Entire home/apt,4090,1,197,2025-08-31,1.19,39,305,35,
279773,Great Life Right Smack in Center!!!,843497,Frantisek,,Praha 1,50.08915,14.4186,Entire home/apt,2091,2,635,2025-08-31,3.92,1,68,62,
287716,Residence Karolina - KAROL43,5282,Klara,,Praha 1,50.08229,14.41552,Entire home/apt,,1,36,2025-06-21,0.24,75,0,4,
287727,Residence Rybna - Rybna11,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,14,2025-08-09,0.10,75,19,1,
287734,Residence Rybna - Rybna31,5282,Klara,,Praha 1,50.08821,14.42623,Entire home/apt,,1,35,2025-07-07,0.26,75,23,2,
293727,"Beautiful BIG, Sunny, View, Central",826315,Idan & Marta,,Praha 7,50.09996,14.42377,Entire home/apt,2979,3,124,2018-09-03,0.76,3,31,0,
304027,"Romantic, Family PENSION & HOSTEL",1564885,Vladimír,,Praha 2,50.07472,14.4226,Shared room,844,1,248,2025-08-10,1.56,5,356,1,
318204,The flat with spacious bedroom at I.P. Pavlova,1629431,Alex & Natalia,,Praha 2,50.07306,14.4311,Entire home/apt,1310,2,335,2025-08-31,2.04,13,109,45,
320262,Prague's Downtown Apartments,1629431,Alex & Natalia,,Praha 2,50.07396,14.43007,Entire home/apt,1715,2,377,2025-09-06,2.33,13,173,48,
324586,Grand Luxury Attic Klimentska - Old Town Square,1660663,Rached,,Praha 1,50.0919,14.42964,Entire home/apt,4122,3,91,2025-08-18,0.57,7,151,6,
342963,"Jane's Attic Apartment, easy access to centre",31121,Jana,,Praha 15,50.05381,14.53234,Entire home/apt,1302,2,202,2025-08-29,1.24,4,193,14,
342968,Charming Loft Apartment near the City Center,31121,Jana,,Praha 15,50.053535,14.531203,Entire home/apt,1463,2,145,2025-09-14,0.88,4,67,6,
346142,Apartment by famous Dancing House with 2 bedrooms,383698,Veronika,,Praha 2,50.07583,14.41401,Entire home/apt,2913,1,101,2025-08-29,0.64,39,313,14,
408724,Green Cimburkova Apartment Ruterra,227945,Alex And Kate,,Praha 3,50.08667,14.45122,Entire home/apt,1522,2,306,2025-09-07,1.90,95,121,47,
415145,Grand Luxury Attic Josefov - Old Town Square,1660663,Rached,,Praha 1,50.09123,14.42331,Entire home/apt,11128,3,272,2025-08-20,1.68,7,283,26,
