id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15373,Beach Cottage Monthly Weekly and Semester options,60209,Lisa Beth,Washington,Narragansett,41.3919,-71.47568,Entire home/apt,372,7,8,2025-07-18,0.13,1,231,1,RE.01182-STR
50791,Armory/Westside - Victorian on the park,233834,Martina,Providence,Providence,41.81488,-71.43021,Entire home/apt,166,2,91,2025-08-18,0.50,3,341,3,"RE 03989-STR, expiry date: 2025-04-09T13:53:54Z"
50817,Sanctuary in the Suburbs,233965,Nancy,Providence,Pawtucket,41.88744,-71.35353,Entire home/apt,79,3,165,2024-03-01,0.91,1,240,0,"RE 00466-STR, expiry date: 2026-10-22"
51583,Bedroom In a large Victorian Home,237379,Chip,Providence,Providence,41.81244,-71.42076,Private room,72,2,487,2025-09-07,2.68,3,67,25,"RE.02712-STR, expiry date: 2025-12-29T23:57:02Z"
54963,"Armory/Westside, on the park, Private Bath",233834,Martina,Providence,Providence,41.8163,-71.42956,Private room,73,2,140,2025-09-26,0.77,3,345,13,"RE 03989-STR, expiry date: 2025-04-09T13:52:54Z"
55464,Narrow River Waterfront SAVE THIS weekend! kayaks!,262000,Kathy,Washington,South Kingstown,41.46965,-71.44939,Entire home/apt,495,3,133,2025-08-24,0.82,1,253,7,"RE 02843-STR, expiry date: 2025-12-31T23:43:57Z"
84167,Great Apartment in East Providence,148703,Michael,Providence,East Providence,41.82666,-71.37689,Entire home/apt,139,2,501,2025-09-19,2.85,2,250,19,"RE.00545-STR, expiry date: 2025-10-24"
106617,Charming Guest House with Pickleball Court,357017,Catherine,Newport,Little Compton,41.47548,-71.17867,Entire home/apt,339,7,64,2025-05-28,0.37,1,294,1,"RE.00429-STR, expiry date: 2025-10-21T20:29:12Z"
111464,4 Corners Schoolhouse No.1 Kristin &Sakonnet Farm,570818,Kristin,Newport,Tiverton,41.5669,-71.18512,Entire home/apt,335,2,246,2025-09-26,1.41,7,319,20,"Re 01075-str, expiry date: 2025-11-11"
152851,Garden Apt Downtown on Thames st.,735167,Patricia,Newport,Newport,41.49218,-71.31613,Private room,275,365,72,2023-09-03,0.42,3,134,0,
158239,Rose Suite,735167,Patricia,Newport,Newport,41.49414,-71.31493,Private room,229,2,135,2025-09-21,0.83,3,343,20,"RE02586-STR, expiry date: 2026-12-31"
158240,Blue Suite,735167,Patricia,Newport,Newport,41.49342,-71.31646,Private room,209,2,133,2025-09-21,0.82,3,346,17,"RE 02586-STR, expiry date: 2025-12-31T00:52:18Z"
393859,"Charming, Impeccable 1B Condo",1969219,Jeffrey,Newport,Newport,41.49305,-71.30635,Entire home/apt,150,30,53,2025-08-01,0.42,1,335,1,
425434,Beautiful Victorian in Newport,2115279,Michael,Newport,Newport,41.49407,-71.3103,Private room,100,2,407,2025-09-28,3.29,1,34,40,"RE04807-STR, expiry date: 2025-09-25"
543501,Luxury Home Steps from Gansett Beach! Free Passes,2672012,Joan,Washington,Narragansett,41.43275451660156,-71.45790100097656,Entire home/apt,551,30,0,,,11,100,0,
553419,Newport Wyndham Inn on the Harbor,2719491,Shirley,Newport,Newport,41.48335,-71.31523,Entire home/apt,,1,8,2025-06-28,0.08,2,0,1,"RE.02467-STR, expiry date: 2025-12-26T17:33:20Z"
569512,Rustic Private Island Cabin on Lake,1613893,Dorothy,Providence,Glocester,41.9269,-71.71365,Entire home/apt,188,1,159,2025-09-08,1.00,1,222,13,"RE 00727-STR, expiry date: 2025-10-31"
573164,Amazing 3 Bedroom Beach House - Walking Distance t,2672012,Joan,Washington,Narragansett,41.42437,-71.46865,Entire home/apt,300,2,49,2025-08-08,0.31,11,125,5,"RE.03780-STR, expiry date: 2025-03-28"
577322,5-STAR Farm on the Coast - Near Newport,2839205,Mo,Washington,North Kingstown,41.50368,-71.42609,Entire home/apt,163,30,641,2025-09-14,3.99,4,97,23,"RE.07165-STR, expiry date: 2026-01-29T22:14:59Z"
584884,"3 Bedroom Summer House, Steps from the Ocean",2672012,Joan,Washington,Narragansett,41.39938,-71.46875,Entire home/apt,317,2,36,2025-08-28,0.23,11,124,7,"RE.03782-STR, expiry date: 2025-03-28"
710196,Cozy Boho Apt in Historic Waterfront Village,2982802,Paula,Bristol,Warren,41.7276,-71.28333,Entire home/apt,94,7,228,2025-06-10,1.44,1,331,9,"RE.00977-STR, expiry date: 2025-11-08"
715524,Private Room in Gr8 Npt Neighborhood 30 day min.,3686343,Ray,Newport,Newport,41.49649,-71.3197,Private room,,280,62,2021-10-10,0.44,4,90,0,
733149,Private Home Near Beach A Perfect Family Getaway!,2672012,Joan,Washington,Narragansett,41.42257,-71.48139,Entire home/apt,258,2,42,2025-08-24,0.28,11,125,7,"RE.03776-STR, expiry date: 2025-03-27"
753812,"Charming Cape Cod, Bright, 6 Bedrooms, Deck, Yard",146281658,Brodie,Providence,Providence,41.80951,-71.45675,Entire home/apt,511,3,17,2025-06-22,0.23,3,118,3,RE.01992-STR
884639,Downtown Bristol Victorian-18 Church Street,4686288,Beth,Bristol,Bristol,41.66744,-71.27548,Entire home/apt,266,2,77,2025-09-21,0.57,1,91,11,"RE.00620-STR, expiry date: 2025-10-26"
901270,Center Rd Apartments Block Island,4079479,Arnie,Washington,New Shoreham,41.17102,-71.57848,Entire home/apt,453,2,102,2025-08-03,0.68,2,365,3,"RE 02338-STR, expiry date: 2025-06-30"
931449,"Plum Beach, North Kingstown RI",5015101,Todd & Ann,Washington,North Kingstown,41.52534,-71.41835,Private room,130,1,287,2025-09-28,1.89,1,108,32,"RE00070-STR, expiry date: 2025-10-05T23:00:00Z"
935163,"Liverpool Villa, Newport's Finest",5045558,Steve,Newport,Newport,41.46772,-71.31648,Entire home/apt,166,2,405,2025-09-23,2.71,1,13,27,"RE 02287-STR, expiry date: 2025-12-25"
937586,"Fantastic One Bedroom Apartment,ful",237379,Chip,Providence,Providence,41.81244,-71.42076,Entire home/apt,123,2,432,2025-09-22,2.87,3,133,29,"RE01504-STR, expiry date: 2025-12-01T00:00:00Z"
964464,sails waterside historic district,1833838,Mark,Bristol,Warren,41.73072,-71.28572,Entire home/apt,113,7,65,2025-09-15,0.69,2,109,3,"RE 03915-STR, expiry date: 2026-11-27T17:52:26Z"
1015306,Amazing 2 Bedroom Beach House,2672012,Joan,Washington,Narragansett,41.42702,-71.46857,Entire home/apt,323,2,37,2025-08-31,0.30,11,125,6,"RE.03132-STR, expiry date: 2026-01-30"
1085953,Quiet Rural and near Fogland Beach,5969152,Michael,Newport,Tiverton,41.55378,-71.20985,Entire home/apt,230,30,0,,,1,362,0,
1213883,East Side Private Apt walk to Brown,5818227,Heatheran,Providence,Providence,41.82196,-71.39523,Entire home/apt,190,30,262,2025-01-27,1.75,2,39,6,
1214162,Large Art Deco 2 bed apt great neighborhood!,5818227,Heatheran,Providence,Providence,41.82406,-71.39171,Entire home/apt,,2,123,2025-04-27,0.82,2,0,10,"RE.07345-STR, expiry date: 2026-02-24T00:00:00Z"
1238944,"Scarborough Beach, Narragansett RI",411564958,Doniell,Washington,Narragansett,41.38741,-71.47767,Entire home/apt,539,2,83,2025-09-23,0.60,1,282,7,"RE.00755-STR, expiry date: 2025-10-02"
1247998,Long Term Newport Apartment Rental,3686343,Ray,Newport,Newport,41.4979,-71.32031,Entire home/apt,150,30,41,2022-07-31,0.30,4,365,0,
1271132,Rustic Jamestown Home,4603646,Bertrand,Newport,Jamestown,41.49534,-71.36787,Entire home/apt,,4,98,2024-08-14,0.67,1,0,0,"RE.01644-STR, expiry date: 2025-12-04T23:40:55Z"
1362681,Central Downtown Newport House & Courtesy Parking,7396890,Karen,Newport,Newport,41.48567,-71.31363,Entire home/apt,565,2,399,2025-09-19,2.70,5,307,33,"RE.01018-STR, expiry date: 2025-11-09"
1442426,"Walk to Boone Street, 1 Mile to Ocean + Deck!",2672012,Joan,Washington,Narragansett,41.42654,-71.47115,Entire home/apt,300,3,33,2025-09-01,0.27,11,125,11,"RE.03134-STR, expiry date: 2026-01-30"
1546551,"Studio B, downtown studio apartment with parking",8241741,Patrick B,Newport,Newport,41.47935,-71.31169,Entire home/apt,165,1,357,2025-09-19,2.42,2,190,60,"RE.01722-STR, expiry date: 2025-12-05"
1572370,Newport Boutique Hotel w/ Parking,8359325,Mark,Newport,Newport,41.4908,-71.30703,Hotel room,,1,65,2024-06-25,0.56,11,195,0,Exempt
1703975,Moonstone By The Sea,8995563,John,Washington,South Kingstown,41.38208,-71.57423,Entire home/apt,712,7,37,2025-08-03,0.33,1,112,1,"RE.01844-STR, expiry date: 2026-02-17"
1773225,Charming Newport Cottage,9312991,Lynne,Newport,Newport,41.47966,-71.31415,Entire home/apt,,2,49,2025-08-31,0.44,1,0,8,"RE 04317-STR, expiry date: 2026-05-31"
1875743,3 Room Suite with Private Entrance,616578,Kenneth,Providence,Providence,41.84585,-71.39628,Private room,110,30,34,2016-08-22,0.24,1,87,0,
1884602,Newport Cottage Newly Updated,2662077,Cary,Newport,Newport,41.47571,-71.31792,Entire home/apt,,30,9,2021-09-07,0.07,1,364,0,
1949883,Spacious Townhouse Near Beaches and Downtown,2883829,George,Newport,Newport,41.48667,-71.30709,Entire home/apt,660,30,53,2025-09-26,0.38,3,345,15,"RE.02556-STR, expiry date: 2025-12-31"
2100627,King Apartment w/ Private Entrance,8359325,Mark,Newport,Newport,41.49232,-71.30546,Hotel room,351,1,98,2025-09-04,0.72,11,26,2,Exempt
2123070,Gardenview B&B,10826785,Mary,Newport,Newport,41.46849,-71.31639,Private room,304,2,57,2022-10-02,0.42,1,360,0,"RE 04222-STR, expiry date: 2025-06-30"
2182258,Potters Corner by Kristin & Sakonnet Farm & Stays,570818,Kristin,Newport,Little Compton,41.52325,-71.13994,Entire home/apt,521,4,146,2025-09-22,1.03,7,285,10,"Re 01077-str, expiry date: 2025-11-11"
2480741,"Stunning Condo Loc, Federal Hill",10524326,Scott,Providence,Providence,41.82101,-71.42538,Entire home/apt,,30,27,2023-12-08,0.20,4,0,0,
2502726,"Beautiful Views, Private Location",12811225,Maryann,Washington,New Shoreham,41.17335,-71.58599,Entire home/apt,742,7,5,2025-08-08,0.04,1,362,1,"RE.06780-STR, expiry date: 2025-12-28"
2544876,Waterfront Ocean Barrington,13029309,Maria,Bristol,Barrington,41.75054,-71.35063,Entire home/apt,900,2,143,2025-08-24,1.03,1,211,14,"RE 06957-STR, expiry date: 2026-01-15T00:00:00Z"
2660199,Pvt Rm in Shared NewportTownhouse (30 day minimum),3686343,Ray,Newport,Newport,41.49676,-71.32015,Private room,40,30,55,2025-04-16,0.40,4,365,1,
2725948,"Private Entrance & Bathroom/Bright, Cheery Suite",8130447,Erin,Bristol,Bristol,41.70343,-71.2855,Entire home/apt,155,2,283,2025-09-28,2.05,1,165,31,"RE.00478-STR, expiry date: 2025-01-30"
2898991,Charming Newport Retreat Near Downtown,2883829,George,Newport,Newport,41.48108,-71.30351,Entire home/apt,842,30,150,2025-09-06,1.12,3,357,13,"RE 02553-STR, expiry date: 2025-12-31"
2938508,"Beautiful, Sunny Victorian in BEST neighborhood",15004334,Susan,Providence,Providence,41.81984,-71.42899,Entire home/apt,196,30,193,2024-09-29,1.41,5,251,0,
2986134,Ross House,14091174,Kenneth,Washington,New Shoreham,41.15549,-71.55108,Entire home/apt,1263,1,122,2025-08-30,0.89,1,346,10,"RE 07118-STR, expiry date: 2026-01-29T00:00:00Z"
3004381,Avail Sept-May Lovely Room Peaceful Central,15311131,The Birdhouse,Newport,Newport,41.48198,-71.3045,Private room,114,1,531,2025-09-26,3.84,2,2,61,RE.04063-STR
3013355,Jamestown Conanicut Island Retreat,15356832,Paul,Newport,Jamestown,41.4991,-71.37429,Entire home/apt,247,3,57,2025-07-27,0.42,1,344,3,"RE 00750-STR, expiry date: 2025-12-30T19:06:01Z"
3121537,Best Location on College Hill,3485758,Peter,Providence,Providence,41.83249,-71.40844,Private room,98,2,506,2025-09-20,3.66,1,149,37,"RE.00611-STR, expiry date: 2025-10-26"
3133420,Newport Hideaway,15911365,Greg,Newport,Newport,41.47015,-71.31381,Private room,274,2,67,2025-09-14,0.49,1,4,15,RE.05692-STR
