id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2441,"Cozy Artist’s Abode! NE Minneapolis, Pets, Wifi",2680,Emily,,Hennepin,45.00862,-93.23424,Entire home/apt,,2,315,2024-07-21,1.62,2,0,0,STR-111974
4534,"Charming, 1 or 2BR + private bath, near downtown",5811,Rachel,,Hennepin,44.94549,-93.35586,Private room,56,2,238,2025-08-10,1.28,2,357,9,
27319,"Parks, Lakes, Downtown, Light rail",117283,Keith,,Hennepin,44.92016,-93.22899,Private room,56,2,210,2025-08-31,1.15,2,327,16,Exempt
82439,Rest and Rehearsal Space,117283,Keith,,Hennepin,44.91995,-93.23011,Private room,59,2,77,2025-06-22,0.45,2,327,9,Exempt
166024,Luxury 5500 Sq ft  Executive Home,746911,Marcel,,Hennepin,44.98274,-93.36458,Entire home/apt,489,2,104,2025-09-21,1.86,1,316,29,
176709,"Private Bedroom, Walk to Saint Paul Campus!",688403,Delia,,Ramsey,44.97483,-93.19141,Private room,85,2,37,2025-08-17,0.25,2,349,3,20180004569
178017,Powderhorn home - sleeps four,540710,Leticia,,Hennepin,44.9436,-93.24872,Entire home/apt,73,30,29,2025-07-05,0.22,1,266,2,STR-400618
198551,Urban Cyclist's Dream/Global Market,966845,Dan & Debby,,Hennepin,44.94991683959961,-93.2590560913086,Entire home/apt,,30,5,2013-03-01,0.03,1,0,0,
236978,"The Sunny Room
2nd Floor Bedroom
Shared Bath",227787,Andrew James,,Anoka,45.21587,-93.35446,Private room,38,1,99,2025-09-07,0.61,2,29,22,
317499,The Manor Master Chamber,1233357,Sean,,Ramsey,44.96917,-93.11233,Private room,76,1,285,2025-09-07,1.73,2,47,10,20170004727
322640,"Charming, sweet Uptown Minneapolis apartment!",119095,Alison,,Hennepin,44.94304,-93.29558,Entire home/apt,104,5,274,2025-09-15,1.65,1,299,20,LIC-366859
392359,Cozy 2 story townhome,1692406,Thoalfegar,,Hennepin,44.96212,-93.37241,Entire home/apt,66,30,6,2017-03-31,0.04,1,327,0,
482236,Manor Guest Suite,1233357,Sean,,Ramsey,44.96903,-93.11149,Private room,57,1,194,2025-07-16,1.20,2,79,6,20170004727
505750,Linden Hills 4-BR/3-bath home,1950187,Catherine,,Hennepin,44.9307,-93.31085,Entire home/apt,612,2,236,2025-07-27,1.80,4,52,4,lic-114245
544048,3 bedroom Bungalow | Family Friendly,937861,Jennie Lee,,Hennepin,44.91917,-93.27163,Entire home/apt,169,2,267,2025-09-08,1.66,1,333,28,STR-376235
609640,Beautiful Lake Harriet Condo,3022975,Janene,,Hennepin,44.9243,-93.31249,Entire home/apt,,30,16,2025-08-31,0.21,8,29,2,
697236,Beautiful House rental,3505142,Yuyang,,Hennepin,44.87712,-93.28438,Private room,36,1,64,2020-02-01,0.41,1,365,0,
741701,Linden Hills Guest Home,3882563,Julie,,Hennepin,44.91973,-93.32255,Entire home/apt,,3,101,2025-08-24,0.70,2,0,8,STR-380293
746358,Beautiful Urban Garden Walkout,3905670,Dennie,,Hennepin,44.97199,-93.30631,Entire home/apt,190,2,414,2025-09-01,2.94,1,334,19,Exempt
783996,Wayzata Lakefront Retreat:Build your Best Memories,4134260,Henry Vi,,Hennepin,44.97516,-93.49155,Entire home/apt,631,4,82,2025-08-25,0.86,1,362,6,
799661,Modern Downtown St. Paul Loft,1172692,Jodi,,Ramsey,44.94986,-93.09659,Entire home/apt,79,180,13,2020-10-18,0.09,1,365,0,
862153,Our Studio,4518528,Mary,,Wright,45.29404,-93.75288,Entire home/apt,87,2,216,2025-09-12,1.88,1,286,20,
881006,The Three Bears (Historic Home),4660799,Jessica,,Anoka,45.19629,-93.38818,Entire home/apt,261,1,31,2023-08-26,0.21,1,352,0,
1004244,Bungalow by the Lakes Fulton,5506919,Jennifer,,Hennepin,44.91188,-93.32313,Entire home/apt,270,4,28,2025-07-25,0.20,1,248,2,STR-072402
1236594,Lovely 3BD Near Parks & Downtown,6742086,Eliza,,Hennepin,44.96967,-93.29522,Entire home/apt,,1,173,2025-08-24,1.16,1,0,1,LIC-358639
1256215,9 Miles to US Bank Stadium (Super Bowl Location :),631231,Katherine,,Ramsey,45.00887,-93.11121,Entire home/apt,309,3,28,2017-09-05,0.19,1,365,0,
1342854,Riverside Rambler in Historic District,7283087,Laura Corbin,,Hennepin,44.99435,-93.26724,Entire home/apt,,2,171,2025-09-01,1.16,1,0,26,STR-361951
1349064,Uptown - North Woods Vibes in the ❤ of MPLS,7319271,Philip,,Hennepin,44.94093,-93.28732,Entire home/apt,61,1,462,2025-09-21,4.08,2,343,76,STR-382652
1361241,"Spacious Urban Apt with Private, Tree-level Porch",7390103,Zachary A,,Hennepin,44.96513,-93.2612,Entire home/apt,,1,416,2025-08-13,2.80,4,0,25,LIC-276904
1489707,"A warm, homey place to rest",7966297,Jennifer,,Hennepin,44.89429,-93.25806,Private room,83,30,0,,,1,88,0,
1570725,"Private Bedroom,  walk to Campus!",688403,Delia,,Ramsey,44.9768,-93.18998,Private room,85,2,52,2025-07-21,0.35,2,364,7,20180004569
1583582,Garden Level Private Bedroom Suite,8432798,Patrick,,Hennepin,44.96353,-93.29104,Private room,125,2,261,2025-08-31,1.79,7,334,8,STR-378882
1668502,Let me tell you a little more....,8835547,Linda,,Hennepin,44.92187880463961,-93.26540863692803,Private room,133,3,93,2025-08-25,0.67,1,89,4,STR-000000
